filename,label,top,left,width,height
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000005.jpg,rear,1434,1263,39,37
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000005.jpg,rear,1438,1305,42,40
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,front,1416,311,254,139
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,front,1403,656,175,134
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,front,1389,821,164,133
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,front,1390,967,185,150
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,rear,1414,1331,95,68
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,rear,1434,1439,61,44
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000008.jpg,rear,1366,1539,140,136
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000009.jpg,front,1412,276,269,151
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000009.jpg,front,1404,660,209,135
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000009.jpg,front,1392,964,211,148
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000009.jpg,front,1389,810,149,132
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000009.jpg,rear,1415,1325,90,67
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,front,1448,382,459,259
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,front,1440,300,325,221
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,front,1432,730,289,221
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,front,1470,933,194,150
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,front,1463,1011,141,123
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,front,1454,1072,126,118
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,rear,1493,1420,98,70
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,rear,1477,1461,77,80
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,rear,1507,1312,46,37
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000020.jpg,rear,1495,1246,61,49
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,front,1434,188,551,289
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,front,1418,92,425,255
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,front,1405,592,373,258
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,front,1452,856,228,172
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,front,1445,977,164,131
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,front,1436,1061,128,121
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,rear,1481,1416,93,67
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,rear,1465,1466,77,75
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,rear,1490,1319,48,37
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,rear,1479,1251,63,47
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000021.jpg,rear,1484,1202,29,25
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,front,1484,-18,635,349
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,front,1458,486,403,281
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,front,1501,785,262,187
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,front,1494,939,179,140
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,front,1486,1046,137,128
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,rear,1528,1413,91,68
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,rear,1513,1478,70,76
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,rear,1536,1335,44,37
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000022.jpg,rear,1528,1256,65,48
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,front,1454,312,501,329
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,front,1505,712,298,210
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,front,1488,909,201,153
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,front,1478,1040,153,136
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,rear,1519,1431,88,67
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,rear,1505,1501,76,76
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000023.jpg,rear,1516,1284,61,46
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,front,1380,18,687,399
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,front,1447,603,354,236
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,front,1418,875,219,175
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,front,1413,1030,170,148
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,rear,1456,1454,86,63
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,rear,1441,1533,74,73
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,rear,1455,1401,47,37
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000024.jpg,rear,1450,1316,60,47
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,front,1322,-228,737,513
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,front,1397,422,451,287
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,front,1373,791,274,191
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,front,1363,1000,189,162
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,rear,1410,1476,84,63
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,rear,1394,1560,76,73
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000025.jpg,rear,1400,1343,63,49
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000026.jpg,front,1476,98,641,363
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000026.jpg,front,1448,690,323,209
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000026.jpg,front,1434,945,234,175
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000026.jpg,rear,1472,1499,82,64
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000026.jpg,rear,1460,1590,79,73
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,front,1432,-276,743,503
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,front,1392,472,431,265
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,front,1354,166,449,267
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,front,1376,867,258,192
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,rear,1413,1395,55,44
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,rear,1419,1508,80,61
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000027.jpg,rear,1406,1606,80,76
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000028.jpg,front,1344,110,603,353
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000028.jpg,front,1320,720,333,237
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000028.jpg,front,1312,-154,523,351
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000028.jpg,rear,1372,1513,83,63
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000028.jpg,rear,1358,1623,81,74
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000028.jpg,rear,1367,1406,59,46
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000029.jpg,front,1330,478,445,293
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000029.jpg,rear,1372,1417,61,45
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000029.jpg,rear,1376,1520,84,62
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000029.jpg,rear,1359,1638,84,80
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000029.jpg,rear,1374,1600,52,48
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000030.jpg,front,1312,124,651,381
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000030.jpg,rear,1363,1459,61,48
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000030.jpg,rear,1371,1557,81,60
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000030.jpg,rear,1352,1686,85,80
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000030.jpg,rear,1368,1640,52,41
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,front,1364,485,296,147
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,front,1361,751,197,133
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,front,1384,1027,178,86
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,rear,1366,1700,80,60
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,rear,1365,1635,71,53
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,rear,1373,1811,106,78
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,rear,1364,1938,61,50
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000048.jpg,rear,1353,1924,54,54
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,front,1356,316,336,180
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,front,1389,805,173,99
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,front,1385,956,183,89
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,rear,1365,1627,68,54
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,rear,1365,1692,84,65
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,rear,1371,1814,111,82
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,rear,1363,1944,63,51
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000049.jpg,rear,1362,1757,49,38
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,front,1348,1076,373,175
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,front,1342,1372,299,193
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,front,1296,1985,89,88
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,front,1353,2018,61,59
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,front,1341,2072,57,45
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1454,2714,845,515
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1383,1943,371,310
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1376,1821,183,158
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1322,2498,474,374
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1381,2393,216,206
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1375,2364,105,96
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1369,2325,85,76
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1345,2426,66,55
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1341,2233,57,44
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1351,2295,58,53
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1325,2290,68,61
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000066.jpg,rear,1352,2136,67,52
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,front,1362,740,465,301
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,front,1397,1245,154,125
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,front,1370,1590,103,93
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,front,1372,1678,87,63
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,front,1345,1720,58,45
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1419,1241,428,327
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1393,1850,319,260
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1382,1781,123,96
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1396,2262,373,262
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1397,2497,198,146
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1390,2168,177,140
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1382,2110,124,110
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1335,1955,48,43
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1339,1998,45,40
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1316,2040,63,63
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000071.jpg,rear,1357,1838,78,51
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,front,1344,1482,130,113
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,front,1381,1040,238,160
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,front,1349,1600,98,73
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,front,1320,1670,58,49
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1398,990,563,419
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,front,1336,-318,897,629
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1357,1722,131,99
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1367,1807,310,251
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1373,2229,375,259
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1368,2127,183,144
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1334,1795,76,51
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1314,1914,47,42
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1316,1966,46,37
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1362,2074,118,97
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000072.jpg,rear,1378,2500,229,164
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,front,1480,-282,1469,943
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,front,1381,1029,220,116
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,front,1385,1186,226,172
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,front,1388,1432,138,92
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,front,1356,1580,68,51
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1418,2183,395,278
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1428,2564,332,192
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1407,2077,197,146
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1404,1748,289,240
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1397,2024,127,110
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1391,1988,103,92
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1395,1630,134,101
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000074.jpg,rear,1367,1727,81,58
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,front,1357,907,344,243
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,front,1356,1222,125,105
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,front,1370,1349,159,105
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,front,1330,1550,76,54
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1371,1604,137,105
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1379,1727,286,232
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1344,1712,82,56
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1324,1844,49,42
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1330,1909,80,68
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1393,2177,417,283
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1382,2071,203,161
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1371,2011,130,121
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1365,1976,107,93
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1354,1946,88,74
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1406,2646,406,236
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1358,2471,271,211
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1321,2283,258,182
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000075.jpg,rear,1334,2112,90,80
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,front,1360,174,731,461
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,front,1360,900,217,142
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,front,1360,1176,125,110
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,front,1374,1245,196,129
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,front,1333,1523,88,58
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1423,2795,524,298
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1405,2197,459,303
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1363,2537,356,232
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1321,2330,292,212
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1385,2077,221,160
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1381,1725,279,220
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1376,1592,142,105
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1347,1711,81,61
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1378,2017,147,128
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1370,1976,120,97
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1327,1847,52,46
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000076.jpg,rear,1327,1915,74,64
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,front,1370,847,208,156
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,front,1388,1101,260,170
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,front,1339,1498,107,64
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1450,3016,721,370
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1371,2644,454,286
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1410,2244,507,336
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1395,2107,240,175
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1392,1743,265,208
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1381,1598,148,105
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1351,1721,80,64
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1382,2044,147,131
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1377,2005,111,96
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1359,1965,93,84
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000077.jpg,rear,1328,1939,81,72
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,front,1387,816,402,234
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,front,1365,754,203,180
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,front,1360,1117,162,129
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,front,1332,1454,130,68
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1364,2808,587,337
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1402,2304,571,377
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1311,2507,382,288
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1388,2140,252,184
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1378,1758,257,207
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1376,2066,163,136
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1366,2018,131,110
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1332,2196,105,92
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1345,1982,94,87
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1375,1599,154,113
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000078.jpg,rear,1343,1724,93,69
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000079.jpg,front,1388,10,867,449
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000079.jpg,front,1354,601,276,192
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000079.jpg,front,1349,1049,195,140
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000079.jpg,front,1321,1379,165,76
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000079.jpg,rear,1348,3042,805,457
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000079.jpg,rear,1398,2358,663,423
